NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-12;2021-09-18;Si;;;216.6003;127.4119;90;9000.9485;5703;655;2.2082;49;1;15;75;15;76;15;3671;450;64;77
CATALUNYA;GLOBAL;2021-09-12;2021-09-18;No;70.7764;0.868303;81.5111;35.5457;2753;1581.5581;87635;34856;2.8024;278;43;34;1434;1319;1526;1320;71482;30075;47577;56226
CATALUNYA;GLOBAL;2021-09-11;2021-09-17;No;72.5153;0.868586;83.4865;36.0234;2790;1565.1087;86717;34500;2.8644;281;48;36;1456;1334;1533;1344;70670;29771;48244;54941
CATALUNYA;GLOBAL;2021-09-11;2021-09-17;--;;;0.0000;0.0000;118;0.0000;8351;27;0.8442;40;42;0;71;47;67;3;8271;21;763;739
CATALUNYA;GLOBAL;2021-09-11;2021-09-17;Si;;;215.1846;130.2433;92;9002.3642;5661;698;2.2298;46;1;18;76;16;76;16;3648;478;61;77
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;--;;;0.0000;0.0000;129;0.0000;8701;33;0.9132;49;43;0;81;48;76;3;8624;27;771;855
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;Si;;;208.1062;99.0982;70;9143.9330;5756;703;1.7727;38;0;16;54;16;57;16;3634;484;63;96
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;No;75.7669;0.875446;86.5466;38.1022;2951;1556.9744;86891;33696;3.0813;282;58;43;1554;1397;1660;1410;70613;29020;50880;63221
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;No;78.7152;0.884442;88.9998;39.3675;3049;1591.0223;90448;32776;3.1574;286;62;52;1576;1473;1723;1476;73077;28239;55450;68076
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;--;;;0.0000;0.0000;132;0.0000;8649;34;0.9074;50;44;0;80;52;75;3;8568;28;806;919
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;Si;;;193.9493;80.6942;57;8893.3561;5595;687;1.5510;36;0;12;44;13;48;13;3475;458;64;97
CATALUNYA;GLOBAL;2021-09-08;2021-09-14;No;82.6774;0.897579;92.1115;41.2268;3193;1616.8714;92533;32693;3.2496;296;59;52;1631;1562;1773;1564;74565;28123;58772;74395
CATALUNYA;GLOBAL;2021-09-08;2021-09-14;--;;;0.0000;0.0000;144;0.0000;8804;36;0.9938;47;6;1;91;53;83;4;8723;31;822;934
CATALUNYA;GLOBAL;2021-09-08;2021-09-14;Si;;;212.3532;83.5256;59;9142.5173;5765;693;1.7173;36;0;13;43;16;53;16;3553;465;69;91
CATALUNYA;GLOBAL;2021-09-07;2021-09-13;--;;;0.0000;0.0000;146;0.0000;8747;40;0.9430;42;5;1;91;55;78;4;8662;34;844;1003
CATALUNYA;GLOBAL;2021-09-07;2021-09-13;Si;;;225.0944;83.5256;59;9618.1887;6134;660;1.4810;33;0;11;40;19;44;19;3805;449;62;101
CATALUNYA;GLOBAL;2021-09-07;2021-09-13;No;86.6311;0.907553;95.4556;43.2797;3352;1624.6313;92859;32968;3.3674;317;63;60;1705;1647;1796;1667;74596;28242;63902;81787
CATALUNYA;GLOBAL;2021-09-06;2021-09-12;No;90.9921;0.914759;99.4711;44.9324;3480;1620.2414;92359;33128;3.5410;336;71;68;1731;1749;1858;1771;74059;28426;65544;98689
CATALUNYA;GLOBAL;2021-09-06;2021-09-12;--;;;0.0000;0.0000;156;0.0000;8715;41;0.9699;34;5;2;96;60;80;4;8625;36;854;1048
